銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
2370,メディネット,28.0,0,0.0,ヘルスケア,
2371,カカクコム,3528.0,142,50.0,コミュニケーション・サービス,"ex:2025-09-29|pay:2025-12:25.0, ex:2026-03-30|pay:2026-06:25.0"
2373,ケア２１,413.0,412,17.0,ヘルスケア,"ex:2025-10-30|pay:2026-01:10.0, ex:2026-04-28|pay:2026-07:7.0"
2374,セントケア・ホールディング,0.0,0,0.0,ヘルスケア,
2375,ギグワークス,202.0,99,2.0,情報技術,ex:2025-10-30|pay:2026-01:2.0
2376,サイネックス,659.0,455,30.0,コミュニケーション・サービス,ex:2026-03-30|pay:2026-06:15.0
2378,ルネサンス,1010.0,129,13.0,コミュニケーション・サービス,"ex:2025-09-29|pay:2025-12:4.0, ex:2026-03-30|pay:2026-06:9.0"
2379,ディップ,1784.0,544,97.0,コミュニケーション・サービス,"ex:2025-08-28|pay:2025-11:47.0, ex:2026-02-26|pay:2026-05:48.0"
237A,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ,153.9,897,13.8,,"ex:2025-07-10|pay:2025-10:3.3, ex:2025-10-09|pay:2026-01:3.3, ex:2026-01-08|pay:2026-04:3.2, ex:2026-04-09|pay:2026-07:4.0"
2384,ＳＢＳホールディングス,4485.0,234,105.0,資本財,ex:2025-12-29|pay:2026-03:90.0
2385,総医研ホールディングス,261.0,383,10.0,ヘルスケア,ex:2025-06-27|pay:2025-09:5.0
2388,ウェッジホールディングス,47.0,0,0.0,資本財,
2389,デジタルホールディングス,0.0,0,0.0,コミュニケーション・サービス,
238A,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ（為替ヘッジあり）,128.3,733,9.4,,"ex:2025-10-09|pay:2026-01:3.2, ex:2026-01-08|pay:2026-04:2.7, ex:2026-04-09|pay:2026-07:3.5"
2391,プラネット,1220.0,361,44.0,情報技術,"ex:2025-07-30|pay:2025-10:22.0, ex:2026-01-29|pay:2026-04:22.0"
2393,日本ケアサプライ,2272.0,326,74.0,資本財,ex:2026-03-30|pay:2026-06:72.0
2395,新日本科学,1220.0,410,50.0,ヘルスケア,"ex:2025-09-29|pay:2025-12:20.0, ex:2026-03-30|pay:2026-06:30.0"
239A,バレッグス,450.0,733,33.0,不動産,ex:2025-09-29|pay:2025-12:33.0
2404,鉄人化ホールディングス,553.0,0,0.0,一般消費財,
2408,ＫＧ情報,780.0,474,37.0,コミュニケーション・サービス,"ex:2025-06-19|pay:2025-09:18.0, ex:2025-12-18|pay:2026-03:18.0"
2410,キャリアデザインセンター,2489.0,1045,260.0,資本財,ex:2025-09-29|pay:2025-12:100.0
2411,ゲンダイエージェンシー,456.0,570,26.0,コミュニケーション・サービス,"ex:2025-09-29|pay:2025-12:12.0, ex:2026-03-30|pay:2026-06:12.0"
2413,エムスリー,1355.0,162,22.0,ヘルスケア,ex:2026-03-30|pay:2026-06:22.0
2415,ヒューマンホールディングス,1532.0,927,142.0,生活必需品,ex:2026-03-30|pay:2026-06:65.0
2418,ツカダ・グローバルホールディング,615.0,228,14.0,一般消費財,"ex:2025-06-27|pay:2025-09:6.0, ex:2025-12-29|pay:2026-03:6.0"
241A,ＲＯＸＸ,427.0,0,0.0,情報技術,
2424,ブラス,600.0,133,8.0,一般消費財,ex:2025-07-30|pay:2025-10:8.0
2425,ケアサービス,733.0,300,22.0,ヘルスケア,ex:2026-03-30|pay:2026-06:22.0
2428,ウェルネット,618.0,477,29.5,情報技術,"ex:2025-06-27|pay:2025-09:29.0, ex:2025-12-29|pay:2026-03:12.0"
2429,ワールドホールディングス,2406.0,565,136.0,資本財,ex:2025-12-29|pay:2026-03:129.5
2432,ディー・エヌ・エー,2715.5,243,66.0,資本財,ex:2026-03-30|pay:2026-06:66.0
2433,博報堂ＤＹホールディングス,1110.5,288,32.0,コミュニケーション・サービス,"ex:2025-09-29|pay:2025-12:16.0, ex:2026-03-30|pay:2026-06:16.0"
2435,シダー,209.0,766,16.0,ヘルスケア,ex:2026-03-30|pay:2026-06:8.0
2436,共同ピーアール,1023.0,156,16.0,コミュニケーション・サービス,ex:2025-12-29|pay:2026-03:14.0
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,460.0,0,0.0,一般消費財,
2438,アスカネット,337.0,208,7.0,一般消費財,ex:2026-04-28|pay:2026-07:7.0
243A,トップス,1122.0,36,4.0,一般消費財,ex:2025-09-29|pay:2025-12:4.0
2440,ぐるなび,126.0,0,0.0,コミュニケーション・サービス,
2445,タカミヤ,425.0,471,20.0,資本財,"ex:2025-09-29|pay:2025-12:6.0, ex:2026-03-30|pay:2026-06:10.0"
2449,プラップジャパン,1076.0,381,41.0,資本財,ex:2025-08-28|pay:2025-11:41.0
244A,グロースエクスパートナーズ,1073.0,0,0.0,情報技術,
2452,コンピュータマインド,412.0,97,4.0,,ex:2026-03-30|pay:2026-06:4.0
2454,オールアバウト,361.0,55,2.0,コミュニケーション・サービス,ex:2026-03-30|pay:2026-06:1.0
2459,アウンコンサルティング,190.0,0,0.0,コミュニケーション・サービス,
