銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,3190,208,74,N/A,"2025-08-08:40.0, 2026-02-09:34.0"
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,1599,389,64,N/A,"2025-04-11:16.0, 2025-07-11:15.0, 2025-10-10:17.0, 2026-01-09:16.0"
1481,上場インデックスファンド日本経済貢献株,3383,212,76,N/A,"2025-07-08:37.0, 2026-01-08:39.0"
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,3311,211,75,N/A,"2025-07-08:39.9, 2026-01-08:35.1"
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,49670,133,730,N/A,"2025-07-16:384.0, 2026-01-16:346.0"
1486,上場インデックスファンド米国債券（為替ヘッジなし）,24530,469,1150,N/A,"2025-07-10:550.0, 2026-01-09:600.0"
1487,上場インデックスファンド米国債券（為替ヘッジあり）,12260,432,543,N/A,"2025-07-10:265.0, 2026-01-09:278.0"
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1975,406,87,N/A,"2025-06-04:13.0, 2025-09-04:29.0, 2025-12-04:13.0, 2026-03-04:32.0"
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,3160,274,93,N/A,"2025-04-07:40.0, 2025-07-07:6.0, 2025-10-07:39.0, 2026-01-07:8.0"
148A,ハッチ・ワーク,1805,0,0,Industrials,No Div
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,7743,226,179.4,N/A,"2025-04-08:86.4, 2025-07-08:13.0, 2025-10-08:75.0, 2026-01-08:5.0"
1491,中外鉱業,1000,394,20,Basic Materials,2025-03-28:20.0
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,24785,511,1302,N/A,"2025-07-08:970.0, 2026-01-08:332.0"
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,41480,244,1117,N/A,"2025-04-08:550.0, 2025-10-08:567.0"
1495,上場インデックスファンドアジアリート,11400,360,436,N/A,"2025-04-18:86.0, 2025-07-18:100.0, 2025-10-20:116.0, 2026-01-20:134.0"
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1690,436,76,N/A,"2025-04-11:19.0, 2025-07-11:19.0, 2025-10-10:19.0, 2026-01-09:19.0"
