ticker,name,sector
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,N/A
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,N/A
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,N/A
2009,鳥越製粉,生活必需品
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,N/A
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,N/A
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,N/A
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,N/A
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,N/A
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,N/A
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,N/A
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,N/A
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,N/A
202A,豆蔵,情報技術
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,N/A
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,N/A
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,N/A
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,N/A
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,N/A
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,N/A
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,N/A
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,N/A
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,N/A
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,N/A
203A,シュンビン,資本財
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,N/A
